date,listeners,streams,followers
2019-02-28,55,149,431
2019-02-27,59,139,431
2019-02-26,57,130,430
2019-02-25,57,213,430
2019-02-24,49,144,430
2019-02-23,71,214,429
2019-02-22,74,165,428
2019-02-21,75,192,427
2019-02-20,50,146,426
2019-02-19,77,216,425
2019-02-18,62,133,425
2019-02-17,57,206,425
2019-02-16,62,174,424
2019-02-15,69,315,424
2019-02-14,66,183,423
2019-02-13,69,304,423
2019-02-12,68,358,424
2019-02-11,89,448,423
2019-02-10,74,360,419
2019-02-09,91,339,417
2019-02-08,62,372,412
2019-02-07,66,220,412
2019-02-06,69,182,412
2019-02-05,65,149,412
2019-02-04,58,134,412
2019-02-03,64,240,410
2019-02-02,75,393,410
2019-02-01,54,255,409
2019-01-31,59,173,409
2019-01-30,63,223,409
2019-01-29,56,129,409
2019-01-28,60,178,408
2019-01-27,62,174,407
2019-01-26,48,186,407
2019-01-25,59,210,407
2019-01-24,82,272,407
2019-01-23,82,280,406
2019-01-22,62,300,406
2019-01-21,60,144,405
2019-01-20,50,150,405
2019-01-19,69,172,405
2019-01-18,77,343,405
2019-01-17,67,228,404
2019-01-16,71,289,403
2019-01-15,72,221,403
2019-01-14,77,338,403
2019-01-13,51,208,402
2019-01-12,82,239,399
2019-01-11,89,397,399
2019-01-10,63,236,398
2019-01-09,64,261,398
2019-01-08,55,238,398
2019-01-07,49,226,398
2019-01-06,46,159,398
2019-01-05,44,121,396
2019-01-04,55,148,396
2019-01-03,52,154,396
2019-01-02,43,98,396
2019-01-01,41,88,396
2018-12-31,67,176,396
2018-12-30,67,184,396
2018-12-29,53,155,394
2018-12-28,73,244,392
2018-12-27,78,319,391
2018-12-26,70,257,389
2018-12-25,67,222,388
2018-12-24,79,294,388
2018-12-23,62,211,384
2018-12-22,82,277,382
2018-12-21,83,302,381
2018-12-20,78,296,380
2018-12-19,81,185,378
2018-12-18,69,198,377
2018-12-17,68,216,377
2018-12-16,74,265,376
2018-12-15,82,209,376
2018-12-14,107,370,376
2018-12-13,147,475,374
2018-12-12,132,402,372
2018-12-11,129,369,371
2018-12-10,163,463,370
2018-12-09,129,312,369
2018-12-08,148,420,369
2018-12-07,260,524,367
2018-12-06,138,392,364
2018-12-05,123,433,361
2018-12-04,109,325,359
2018-12-03,125,415,358
2018-12-02,98,289,354
2018-12-01,103,288,354
2018-11-30,168,351,353
2018-11-29,72,366,351
2018-11-28,75,436,351
2018-11-27,75,370,348
2018-11-26,85,467,348
2018-11-25,91,370,344
2018-11-24,86,570,340
2018-11-23,89,589,340
2018-11-22,62,263,339
2018-11-21,59,160,338
2018-11-20,68,167,336
2018-11-19,58,226,334
2018-11-18,43,114,331
2018-11-17,49,92,329
2018-11-16,76,212,328
2018-11-15,60,184,329
2018-11-14,53,233,328
2018-11-13,56,194,327
2018-11-12,59,149,327
2018-11-11,57,114,327
2018-11-10,60,173,326
2018-11-09,63,102,326
2018-11-08,49,119,326
2018-11-07,60,190,325
2018-11-06,61,169,324
2018-11-05,58,207,323
2018-11-04,47,165,323
2018-11-03,50,92,324
2018-11-02,85,243,323
2018-11-01,68,288,322
2018-10-31,76,318,321
2018-10-30,72,278,320
2018-10-29,73,331,319
2018-10-28,50,106,318
2018-10-27,55,222,316
2018-10-26,74,279,313
2018-10-25,29,83,308
2018-10-24,34,96,305
2018-10-23,29,49,304
2018-10-22,29,76,304
2018-10-21,26,59,304
2018-10-20,26,107,304
2018-10-19,40,137,304
2018-10-18,39,80,304
2018-10-17,44,127,304
2018-10-16,33,69,303
2018-10-15,29,88,302
2018-10-14,32,118,302
2018-10-13,37,66,301
2018-10-12,29,57,301
2018-10-11,33,88,300
2018-10-10,31,128,300
2018-10-09,34,101,300
2018-10-08,34,86,300
2018-10-07,36,106,300
2018-10-06,52,164,299
2018-10-05,40,118,299
2018-10-04,43,138,298
2018-10-03,39,113,297
2018-10-02,31,77,297
2018-10-01,26,76,297
2018-09-30,22,50,297
2018-09-29,29,101,296
2018-09-28,27,88,295
2018-09-27,42,163,295
2018-09-26,42,137,294
2018-09-25,28,147,294
2018-09-24,44,156,294
2018-09-23,29,82,294
2018-09-22,26,47,294
2018-09-21,36,178,294
2018-09-20,36,208,294
2018-09-19,29,73,294
2018-09-18,37,142,295
2018-09-17,31,116,295
2018-09-16,35,115,295
2018-09-15,25,65,295
2018-09-14,35,126,295
2018-09-13,31,139,295
2018-09-12,31,79,295
2018-09-11,37,122,295
2018-09-10,34,73,295
2018-09-09,42,240,295
2018-09-08,32,96,295
2018-09-07,34,110,295
2018-09-06,40,99,295
2018-09-05,41,103,296
2018-09-04,46,119,296
2018-09-03,45,125,296
2018-09-02,35,73,296
2018-09-01,37,90,296
2018-08-31,41,89,296
2018-08-30,35,75,296
2018-08-29,29,98,296
2018-08-28,25,55,296
2018-08-27,31,82,296
2018-08-26,27,50,296
2018-08-25,34,76,296
2018-08-24,35,94,295
2018-08-23,37,129,294
2018-08-22,38,163,293
2018-08-21,36,120,292
2018-08-20,48,145,291
2018-08-19,39,245,290
2018-08-18,40,258,290
2018-08-17,38,105,290
2018-08-16,43,82,288
2018-08-15,41,204,287
2018-08-14,32,102,286
2018-08-13,27,66,285
2018-08-12,27,115,284
2018-08-11,28,55,284
2018-08-10,33,77,283
2018-08-09,26,111,282
2018-08-08,31,108,282
2018-08-07,26,137,281
2018-08-06,29,132,281
2018-08-05,33,162,281
2018-08-04,33,83,281
2018-08-03,32,94,280
2018-08-02,44,115,280
2018-08-01,23,134,280
2018-07-31,30,202,280
2018-07-30,39,263,280
2018-07-29,27,82,278
2018-07-28,25,61,278
2018-07-27,27,42,278
2018-07-26,36,90,278
2018-07-25,27,41,278
2018-07-24,29,101,278
2018-07-23,31,51,278
2018-07-22,24,40,278
2018-07-21,26,55,278
2018-07-20,25,71,278
2018-07-19,36,83,278
2018-07-18,36,163,277
2018-07-17,29,122,277
2018-07-16,19,48,276
2018-07-15,28,64,275
2018-07-14,21,32,275
2018-07-13,40,97,275
2018-07-12,31,83,274
2018-07-11,37,95,273
2018-07-10,37,90,272
2018-07-09,39,81,272
2018-07-08,25,69,272
2018-07-07,34,76,272
2018-07-06,19,46,271
2018-07-05,32,94,271
2018-07-04,29,59,272
2018-07-03,30,82,272
2018-07-02,33,80,272
2018-07-01,29,83,272
2018-06-30,31,95,272
2018-06-29,27,108,271
2018-06-28,29,138,270
2018-06-27,42,226,269
2018-06-26,36,252,269
2018-06-25,33,97,269
2018-06-24,31,52,268
2018-06-23,25,58,268
2018-06-22,38,53,268
2018-06-21,38,73,267
2018-06-20,28,57,266
2018-06-19,27,52,266
